0.000;0.010;-0.060;FLOAT
0.010;0.020;-0.065;FLOAT
0.020;0.030;-0.060;FLOAT
0.030;0.040;-0.075;FLOAT
0.040;0.050;-0.065;FLOAT
0.050;0.060;-0.070;FLOAT
0.060;0.070;-0.070;FLOAT
0.070;0.080;-0.090;FLOAT
0.080;0.090;-0.080;FLOAT
0.090;0.100;-0.095;FLOAT
0.100;0.110;-0.080;FLOAT
0.110;0.120;-0.095;FLOAT
0.120;0.130;-0.080;FLOAT
0.130;0.140;-0.095;FLOAT
0.140;0.150;-0.085;FLOAT
0.150;0.160;-0.090;FLOAT
0.160;0.170;-0.090;FLOAT
0.170;0.180;-0.100;FLOAT
0.180;0.190;-0.085;FLOAT
0.190;0.200;-0.105;FLOAT
0.200;0.210;-0.090;FLOAT
0.210;0.220;-0.045;FLOAT
0.220;0.230;0.005;FLOAT
0.230;0.240;0.015;FLOAT
0.240;0.250;0.045;FLOAT
0.250;0.260;0.155;FLOAT
0.260;0.270;0.140;FLOAT
0.270;0.280;0.045;FLOAT
0.280;0.290;0.005;FLOAT
0.290;0.300;-0.040;FLOAT
0.300;0.310;-0.085;FLOAT
0.310;0.320;-0.200;FLOAT
0.320;0.330;-0.195;FLOAT
0.330;0.340;-0.200;FLOAT
0.340;0.350;-0.200;FLOAT
0.350;0.360;-0.240;FLOAT
0.360;0.370;-0.130;FLOAT
0.370;0.380;0.340;FLOAT
0.380;0.390;1.155;FLOAT
0.390;0.400;1.470;FLOAT
0.400;0.410;-0.155;FLOAT
0.410;0.420;-0.825;FLOAT
0.420;0.430;-0.590;FLOAT
0.430;0.440;-0.350;FLOAT
0.440;0.450;-0.155;FLOAT
0.450;0.460;-0.170;FLOAT
0.460;0.470;-0.140;FLOAT
0.470;0.480;-0.155;FLOAT
0.480;0.490;-0.115;FLOAT
0.490;0.500;-0.125;FLOAT
0.500;0.510;-0.090;FLOAT
0.510;0.520;-0.095;FLOAT
0.520;0.530;-0.065;FLOAT
0.530;0.540;-0.055;FLOAT
0.540;0.550;-0.015;FLOAT
0.550;0.560;-0.005;FLOAT
0.560;0.570;0.035;FLOAT
0.570;0.580;0.045;FLOAT
0.580;0.590;0.090;FLOAT
0.590;0.600;0.110;FLOAT
0.600;0.610;0.150;FLOAT
0.610;0.620;0.180;FLOAT
0.620;0.630;0.205;FLOAT
0.630;0.640;0.225;FLOAT
0.640;0.650;0.230;FLOAT
0.650;0.660;0.220;FLOAT
0.660;0.670;0.235;FLOAT
0.670;0.680;0.230;FLOAT
0.680;0.690;0.200;FLOAT
0.690;0.700;0.170;FLOAT
0.700;0.710;0.120;FLOAT
0.710;0.720;0.075;FLOAT
0.720;0.730;0.040;FLOAT
0.730;0.740;0.020;FLOAT
0.740;0.750;0.005;FLOAT
0.750;0.760;-0.005;FLOAT
0.760;0.770;-0.005;FLOAT
0.770;0.780;-0.010;FLOAT
0.780;0.790;-0.015;FLOAT
0.790;0.800;-0.010;FLOAT
0.800;0.810;0.000;FLOAT
0.810;0.820;-0.005;FLOAT
0.820;0.830;-0.020;FLOAT
0.830;0.840;-0.020;FLOAT
0.840;0.850;-0.015;FLOAT
0.850;0.860;-0.025;FLOAT
0.860;0.870;-0.035;FLOAT
0.870;0.880;-0.045;FLOAT
0.880;0.890;-0.045;FLOAT
0.890;0.900;-0.060;FLOAT
0.900;0.910;-0.065;FLOAT
0.910;0.920;-0.070;FLOAT
0.920;0.930;-0.055;FLOAT
0.930;0.940;-0.060;FLOAT
0.940;0.950;-0.080;FLOAT
0.950;0.960;-0.075;FLOAT
0.960;0.970;-0.090;FLOAT
0.970;0.980;-0.065;FLOAT
0.980;0.990;-0.075;FLOAT
0.990;1.000;-0.080;FLOAT
1.000;1.010;-0.080;FLOAT
1.010;1.020;-0.085;FLOAT
1.020;1.030;-0.090;FLOAT
1.030;1.040;-0.075;FLOAT
1.040;1.050;-0.085;FLOAT
1.050;1.060;-0.095;FLOAT
1.060;1.070;-0.105;FLOAT
1.070;1.080;-0.090;FLOAT
1.080;1.090;-0.095;FLOAT
1.090;1.100;-0.070;FLOAT
1.100;1.110;-0.045;FLOAT
1.110;1.120;0.005;FLOAT
1.120;1.130;0.030;FLOAT
1.130;1.140;0.070;FLOAT
1.140;1.150;0.195;FLOAT
1.150;1.160;0.145;FLOAT
1.160;1.170;0.050;FLOAT
1.170;1.180;-0.015;FLOAT
1.180;1.190;-0.025;FLOAT
1.190;1.200;-0.115;FLOAT
1.200;1.210;-0.180;FLOAT
1.210;1.220;-0.190;FLOAT
1.220;1.230;-0.185;FLOAT
1.230;1.240;-0.185;FLOAT
1.240;1.250;-0.215;FLOAT
1.250;1.260;0.010;FLOAT
1.260;1.270;0.575;FLOAT
1.270;1.280;1.185;FLOAT
1.280;1.290;0.960;FLOAT
1.290;1.300;-0.160;FLOAT
1.300;1.310;-0.740;FLOAT
1.310;1.320;-0.640;FLOAT
1.320;1.330;-0.350;FLOAT
1.330;1.340;-0.175;FLOAT
1.340;1.350;-0.145;FLOAT
1.350;1.360;-0.150;FLOAT
1.360;1.370;-0.145;FLOAT
1.370;1.380;-0.105;FLOAT
1.380;1.390;-0.120;FLOAT
1.390;1.400;-0.090;FLOAT
1.400;1.410;-0.085;FLOAT
1.410;1.420;-0.070;FLOAT
1.420;1.430;-0.040;FLOAT
1.430;1.440;-0.020;FLOAT
1.440;1.450;0.005;FLOAT
1.450;1.460;0.020;FLOAT
1.460;1.470;0.045;FLOAT
1.470;1.480;0.080;FLOAT
1.480;1.490;0.115;FLOAT
1.490;1.500;0.140;FLOAT
1.500;1.510;0.165;FLOAT
1.510;1.520;0.210;FLOAT
1.520;1.530;0.190;FLOAT
1.530;1.540;0.220;FLOAT
1.540;1.550;0.210;FLOAT
1.550;1.560;0.215;FLOAT
1.560;1.570;0.215;FLOAT
1.570;1.580;0.160;FLOAT
1.580;1.590;0.135;FLOAT
1.590;1.600;0.100;FLOAT
1.600;1.610;0.050;FLOAT
1.610;1.620;0.035;FLOAT
1.620;1.630;-0.005;FLOAT
1.630;1.640;0.005;FLOAT
